'worldPose: x: -12.233016,y: 289.964827,theta: 1.424439, gridPosition: x: 0, y: 0'
'worldPose: x: -12.233016,y: 289.964827,theta: 1.424439, gridPosition: x: 0, y: 0'
'worldPose: x: -12.232783,y: 289.974951,theta: 1.424652, gridPosition: x: 0, y: 0'
'worldPose: x: -12.232783,y: 289.974951,theta: 1.424652, gridPosition: x: 0, y: 0'
'worldPose: x: -12.231384,y: 289.985464,theta: 1.425367, gridPosition: x: 0, y: 0'
'worldPose: x: -12.231384,y: 289.985464,theta: 1.425367, gridPosition: x: 0, y: 0'
'worldPose: x: -12.231384,y: 289.985464,theta: 1.425367, gridPosition: x: 0, y: 0'
'worldPose: x: -12.229671,y: 289.997325,theta: 1.425283, gridPosition: x: 0, y: 0'
'worldPose: x: -12.229671,y: 289.997325,theta: 1.425283, gridPosition: x: 0, y: 0'
'worldPose: x: -12.229536,y: 290.004663,theta: 1.425699, gridPosition: x: 0, y: 0'
'worldPose: x: -12.229536,y: 290.004663,theta: 1.425699, gridPosition: x: 0, y: 0'
'worldPose: x: -12.229536,y: 290.004663,theta: 1.425699, gridPosition: x: 0, y: 0'
'worldPose: x: -12.228598,y: 290.013711,theta: 1.425725, gridPosition: x: 0, y: 0'
'worldPose: x: -12.228598,y: 290.013711,theta: 1.425725, gridPosition: x: 0, y: 0'
'worldPose: x: -12.227125,y: 290.024061,theta: 1.426475, gridPosition: x: 0, y: 0'
'worldPose: x: -12.227125,y: 290.024061,theta: 1.426475, gridPosition: x: 0, y: 0'
'worldPose: x: -12.227125,y: 290.024061,theta: 1.426475, gridPosition: x: 0, y: 0'
'worldPose: x: -12.225270,y: 290.037497,theta: 1.425984, gridPosition: x: 0, y: 0'
'worldPose: x: -12.225270,y: 290.037497,theta: 1.425984, gridPosition: x: 0, y: 0'
'worldPose: x: -12.225253,y: 290.047063,theta: 1.425353, gridPosition: x: 0, y: 0'
'worldPose: x: -12.225253,y: 290.047063,theta: 1.425353, gridPosition: x: 0, y: 0'
'worldPose: x: -12.225253,y: 290.047063,theta: 1.425353, gridPosition: x: 0, y: 0'
'worldPose: x: -12.224254,y: 290.055139,theta: 1.427650, gridPosition: x: 0, y: 0'
'worldPose: x: -12.224254,y: 290.055139,theta: 1.427650, gridPosition: x: 0, y: 0'
'worldPose: x: -12.222565,y: 290.066914,theta: 1.428608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.222565,y: 290.066914,theta: 1.428608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.222565,y: 290.066914,theta: 1.428608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.221320,y: 290.078828,theta: 1.427877, gridPosition: x: 0, y: 0'
'worldPose: x: -12.221320,y: 290.078828,theta: 1.427877, gridPosition: x: 0, y: 0'
'worldPose: x: -12.220442,y: 290.087639,theta: 1.427646, gridPosition: x: 0, y: 0'
'worldPose: x: -12.220442,y: 290.087639,theta: 1.427646, gridPosition: x: 0, y: 0'
'worldPose: x: -12.220442,y: 290.087639,theta: 1.427646, gridPosition: x: 0, y: 0'
'worldPose: x: -12.220365,y: 290.098303,theta: 1.428628, gridPosition: x: 0, y: 0'
'worldPose: x: -12.220365,y: 290.098303,theta: 1.428628, gridPosition: x: 0, y: 0'
'worldPose: x: -12.218458,y: 290.109399,theta: 1.428834, gridPosition: x: 0, y: 0'
'worldPose: x: -12.218458,y: 290.109399,theta: 1.428834, gridPosition: x: 0, y: 0'
'worldPose: x: -12.218458,y: 290.109399,theta: 1.428834, gridPosition: x: 0, y: 0'
'worldPose: x: -12.216471,y: 290.118745,theta: 1.426858, gridPosition: x: 0, y: 0'
'worldPose: x: -12.216471,y: 290.118745,theta: 1.426858, gridPosition: x: 0, y: 0'
'worldPose: x: -12.216163,y: 290.128289,theta: 1.426720, gridPosition: x: 0, y: 0'
'worldPose: x: -12.216163,y: 290.128289,theta: 1.426720, gridPosition: x: 0, y: 0'
'worldPose: x: -12.216163,y: 290.128289,theta: 1.426720, gridPosition: x: 0, y: 0'
'worldPose: x: -12.215448,y: 290.139775,theta: 1.427237, gridPosition: x: 0, y: 0'
'worldPose: x: -12.215448,y: 290.139775,theta: 1.427237, gridPosition: x: 0, y: 0'
'worldPose: x: -12.213639,y: 290.150748,theta: 1.427356, gridPosition: x: 0, y: 0'
'worldPose: x: -12.213639,y: 290.150748,theta: 1.427356, gridPosition: x: 0, y: 0'
'worldPose: x: -12.213639,y: 290.150748,theta: 1.427356, gridPosition: x: 0, y: 0'
