'worldPose: x: 14.319227,y: 292.670731,theta: -1.740428, gridPosition: x: 0, y: 0'
'worldPose: x: 14.311962,y: 292.616040,theta: -1.742859, gridPosition: x: 0, y: 0'
'worldPose: x: 14.311962,y: 292.616040,theta: -1.742859, gridPosition: x: 0, y: 0'
'worldPose: x: 14.307073,y: 292.575087,theta: -1.742635, gridPosition: x: 0, y: 0'
'worldPose: x: 14.307073,y: 292.575087,theta: -1.742635, gridPosition: x: 0, y: 0'
'worldPose: x: 14.307073,y: 292.575087,theta: -1.742635, gridPosition: x: 0, y: 0'
'worldPose: x: 14.306756,y: 292.560623,theta: -1.743104, gridPosition: x: 0, y: 0'
'worldPose: x: 14.306756,y: 292.560623,theta: -1.743104, gridPosition: x: 0, y: 0'
'worldPose: x: 14.301418,y: 292.519436,theta: -1.742355, gridPosition: x: 0, y: 0'
'worldPose: x: 14.301418,y: 292.519436,theta: -1.742355, gridPosition: x: 0, y: 0'
'worldPose: x: 14.301418,y: 292.519436,theta: -1.742355, gridPosition: x: 0, y: 0'
'worldPose: x: 14.299833,y: 292.480674,theta: -1.740489, gridPosition: x: 0, y: 0'
'worldPose: x: 14.299833,y: 292.480674,theta: -1.740489, gridPosition: x: 0, y: 0'
'worldPose: x: 14.293411,y: 292.439937,theta: -1.739884, gridPosition: x: 0, y: 0'
'worldPose: x: 14.293411,y: 292.439937,theta: -1.739884, gridPosition: x: 0, y: 0'
'worldPose: x: 14.293411,y: 292.439937,theta: -1.739884, gridPosition: x: 0, y: 0'
'worldPose: x: 14.287332,y: 292.376889,theta: -1.740040, gridPosition: x: 0, y: 0'
'worldPose: x: 14.287332,y: 292.376889,theta: -1.740040, gridPosition: x: 0, y: 0'
'worldPose: x: 14.282944,y: 292.341808,theta: -1.739192, gridPosition: x: 0, y: 0'
'worldPose: x: 14.282944,y: 292.341808,theta: -1.739192, gridPosition: x: 0, y: 0'
'worldPose: x: 14.282944,y: 292.341808,theta: -1.739192, gridPosition: x: 0, y: 0'
'worldPose: x: 14.280382,y: 292.284743,theta: -1.736549, gridPosition: x: 0, y: 0'
'worldPose: x: 14.280382,y: 292.284743,theta: -1.736549, gridPosition: x: 0, y: 0'
'worldPose: x: 14.275014,y: 292.241822,theta: -1.735653, gridPosition: x: 0, y: 0'
'worldPose: x: 14.275014,y: 292.241822,theta: -1.735653, gridPosition: x: 0, y: 0'
'worldPose: x: 14.275014,y: 292.241822,theta: -1.735653, gridPosition: x: 0, y: 0'
'worldPose: x: 14.270725,y: 292.195356,theta: -1.735252, gridPosition: x: 0, y: 0'
'worldPose: x: 14.270725,y: 292.195356,theta: -1.735252, gridPosition: x: 0, y: 0'
'worldPose: x: 14.266093,y: 292.150741,theta: -1.735716, gridPosition: x: 0, y: 0'
