'worldPose: x: 1.649144,y: 0.257388,theta: -0.240428, gridPosition: x: 0, y: 0'
'worldPose: x: 1.657240,y: 0.255399,theta: -0.241094, gridPosition: x: 0, y: 0'
'worldPose: x: 1.669375,y: 0.252401,theta: -0.243111, gridPosition: x: 0, y: 0'
'worldPose: x: 1.679475,y: 0.249880,theta: -0.245599, gridPosition: x: 0, y: 0'
'worldPose: x: 1.687553,y: 0.247841,theta: -0.248254, gridPosition: x: 0, y: 0'
'worldPose: x: 1.699664,y: 0.244733,theta: -0.253424, gridPosition: x: 0, y: 0'
'worldPose: x: 1.709738,y: 0.242095,theta: -0.257907, gridPosition: x: 0, y: 0'
'worldPose: x: 1.719800,y: 0.239410,theta: -0.263027, gridPosition: x: 0, y: 0'
'worldPose: x: 1.729852,y: 0.236689,theta: -0.265002, gridPosition: x: 0, y: 0'
'worldPose: x: 1.739904,y: 0.233959,theta: -0.264887, gridPosition: x: 0, y: 0'
'worldPose: x: 1.749964,y: 0.231219,theta: -0.266721, gridPosition: x: 0, y: 0'
'worldPose: x: 1.759998,y: 0.228464,theta: -0.268658, gridPosition: x: 0, y: 0'
'worldPose: x: 1.770051,y: 0.225679,theta: -0.271394, gridPosition: x: 0, y: 0'
'worldPose: x: 1.780070,y: 0.222873,theta: -0.274087, gridPosition: x: 0, y: 0'
'worldPose: x: 1.790098,y: 0.220030,theta: -0.278009, gridPosition: x: 0, y: 0'
'worldPose: x: 1.800099,y: 0.217139,theta: -0.283523, gridPosition: x: 0, y: 0'
'worldPose: x: 1.810104,y: 0.214195,theta: -0.287779, gridPosition: x: 0, y: 0'
'worldPose: x: 1.820070,y: 0.211202,theta: -0.295964, gridPosition: x: 0, y: 0'
'worldPose: x: 1.830041,y: 0.208141,theta: -0.299444, gridPosition: x: 0, y: 0'
'worldPose: x: 1.839977,y: 0.205038,theta: -0.305134, gridPosition: x: 0, y: 0'
'worldPose: x: 1.849902,y: 0.201890,theta: -0.308310, gridPosition: x: 0, y: 0'
'worldPose: x: 1.860487,y: 0.198515,theta: -0.308176, gridPosition: x: 0, y: 0'
'worldPose: x: 1.871474,y: 0.195011,theta: -0.309147, gridPosition: x: 0, y: 0'
'worldPose: x: 1.881943,y: 0.191654,theta: -0.311000, gridPosition: x: 0, y: 0'
'worldPose: x: 1.891855,y: 0.188452,theta: -0.313905, gridPosition: x: 0, y: 0'
'worldPose: x: 1.899791,y: 0.185873,theta: -0.312541, gridPosition: x: 0, y: 0'
'worldPose: x: 1.909684,y: 0.182657,theta: -0.315424, gridPosition: x: 0, y: 0'
'worldPose: x: 1.921608,y: 0.178727,theta: -0.320927, gridPosition: x: 0, y: 0'
'worldPose: x: 1.944479,y: 0.191638,theta: -0.317218, gridPosition: x: 0, y: 0'
'worldPose: x: 1.954637,y: 0.188695,theta: -0.320931, gridPosition: x: 0, y: 0'
'worldPose: x: 1.970643,y: 0.191791,theta: -0.322218, gridPosition: x: 0, y: 0'
'worldPose: x: 1.980692,y: 0.188674,theta: -0.323456, gridPosition: x: 0, y: 0'
'worldPose: x: 1.990581,y: 0.185347,theta: -0.325497, gridPosition: x: 0, y: 0'
'worldPose: x: 2.000442,y: 0.182019,theta: -0.323762, gridPosition: x: 0, y: 0'
'worldPose: x: 2.010309,y: 0.178675,theta: -0.328915, gridPosition: x: 0, y: 0'
