'worldPose: x: 1.982059,y: 0.152826,theta: 0.004044, gridPosition: x: 0, y: 0'
'worldPose: x: 1.997680,y: 0.152890,theta: 0.004247, gridPosition: x: 0, y: 0'
'worldPose: x: 2.013301,y: 0.152961,theta: 0.004689, gridPosition: x: 0, y: 0'
'worldPose: x: 2.025811,y: 0.153020,theta: 0.004712, gridPosition: x: 0, y: 0'
'worldPose: x: 2.044556,y: 0.153106,theta: 0.004446, gridPosition: x: 0, y: 0'
'worldPose: x: 2.060192,y: 0.153168,theta: 0.003725, gridPosition: x: 0, y: 0'
'worldPose: x: 2.075817,y: 0.153213,theta: 0.002231, gridPosition: x: 0, y: 0'
'worldPose: x: 2.091504,y: 0.153237,theta: 0.001092, gridPosition: x: 0, y: 0'
'worldPose: x: 2.107054,y: 0.153245,theta: 0.000126, gridPosition: x: 0, y: 0'
'worldPose: x: 2.128219,y: 0.171697,theta: -0.000208, gridPosition: x: 0, y: 0'
'worldPose: x: 2.150215,y: 0.203108,theta: -0.000195, gridPosition: x: 0, y: 0'
'worldPose: x: 2.168914,y: 0.203105,theta: -0.000107, gridPosition: x: 0, y: 0'
'worldPose: x: 2.184734,y: 0.203105,theta: -0.000023, gridPosition: x: 0, y: 0'
'worldPose: x: 2.200159,y: 0.203101,theta: -0.000504, gridPosition: x: 0, y: 0'
'worldPose: x: 2.215780,y: 0.203086,theta: -0.001235, gridPosition: x: 0, y: 0'
'worldPose: x: 2.231402,y: 0.203058,theta: -0.002145, gridPosition: x: 0, y: 0'
'worldPose: x: 2.247038,y: 0.203016,theta: -0.002887, gridPosition: x: 0, y: 0'
'worldPose: x: 2.262718,y: 0.202974,theta: -0.002380, gridPosition: x: 0, y: 0'
'worldPose: x: 2.278675,y: 0.202951,theta: -0.000961, gridPosition: x: 0, y: 0'
'worldPose: x: 2.293908,y: 0.202953,theta: 0.000980, gridPosition: x: 0, y: 0'
'worldPose: x: 2.310225,y: 0.202993,theta: 0.003287, gridPosition: x: 0, y: 0'
'worldPose: x: 2.325853,y: 0.203059,theta: 0.004782, gridPosition: x: 0, y: 0'
'worldPose: x: 2.341457,y: 0.203144,theta: 0.005801, gridPosition: x: 0, y: 0'
'worldPose: x: 2.357106,y: 0.203240,theta: 0.006329, gridPosition: x: 0, y: 0'
'worldPose: x: 2.372724,y: 0.203342,theta: 0.006658, gridPosition: x: 0, y: 0'
'worldPose: x: 2.388357,y: 0.203454,theta: 0.007443, gridPosition: x: 0, y: 0'
'worldPose: x: 2.405030,y: 0.203585,theta: 0.008072, gridPosition: x: 0, y: 0'
'worldPose: x: 2.417518,y: 0.203693,theta: 0.008884, gridPosition: x: 0, y: 0'
'worldPose: x: 2.437150,y: 0.203885,theta: 0.010639, gridPosition: x: 0, y: 0'
'worldPose: x: 2.452672,y: 0.204063,theta: 0.011801, gridPosition: x: 0, y: 0'
'worldPose: x: 2.465080,y: 0.204216,theta: 0.012742, gridPosition: x: 0, y: 0'
'worldPose: x: 2.483875,y: 0.204468,theta: 0.013993, gridPosition: x: 0, y: 0'
'worldPose: x: 2.499477,y: 0.204696,theta: 0.015012, gridPosition: x: 0, y: 0'
'worldPose: x: 2.528819,y: 0.205245,theta: 0.015874, gridPosition: x: 0, y: 0'
'worldPose: x: 2.560672,y: 0.205862,theta: 0.016311, gridPosition: x: 0, y: 0'
'worldPose: x: 2.576260,y: 0.206123,theta: 0.017046, gridPosition: x: 0, y: 0'
'worldPose: x: 2.588779,y: 0.206342,theta: 0.017787, gridPosition: x: 0, y: 0'
'worldPose: x: 2.607518,y: 0.206689,theta: 0.019038, gridPosition: x: 0, y: 0'
'worldPose: x: 2.623131,y: 0.206999,theta: 0.020368, gridPosition: x: 0, y: 0'
'worldPose: x: 2.638754,y: 0.207329,theta: 0.021441, gridPosition: x: 0, y: 0'
'worldPose: x: 2.654539,y: 0.207679,theta: 0.022673, gridPosition: x: 0, y: 0'
'worldPose: x: 2.670021,y: 0.208042,theta: 0.023772, gridPosition: x: 0, y: 0'
'worldPose: x: 2.685648,y: 0.208421,theta: 0.024447, gridPosition: x: 0, y: 0'
'worldPose: x: 2.701249,y: 0.208810,theta: 0.025287, gridPosition: x: 0, y: 0'
'worldPose: x: 2.716863,y: 0.209212,theta: 0.025960, gridPosition: x: 0, y: 0'
'worldPose: x: 2.732504,y: 0.209626,theta: 0.026842, gridPosition: x: 0, y: 0'
'worldPose: x: 2.748098,y: 0.210057,theta: 0.028143, gridPosition: x: 0, y: 0'
'worldPose: x: 2.763720,y: 0.210504,theta: 0.028865, gridPosition: x: 0, y: 0'
'worldPose: x: 2.779339,y: 0.210964,theta: 0.029826, gridPosition: x: 0, y: 0'
'worldPose: x: 2.794959,y: 0.211441,theta: 0.030916, gridPosition: x: 0, y: 0'
'worldPose: x: 2.810576,y: 0.211934,theta: 0.032091, gridPosition: x: 0, y: 0'
'worldPose: x: 2.823083,y: 0.212344,theta: 0.033141, gridPosition: x: 0, y: 0'
'worldPose: x: 2.838674,y: 0.212873,theta: 0.034407, gridPosition: x: 0, y: 0'
'worldPose: x: 2.857427,y: 0.213541,theta: 0.036112, gridPosition: x: 0, y: 0'
'worldPose: x: 2.873087,y: 0.214122,theta: 0.037320, gridPosition: x: 0, y: 0'
