'worldPose: x: 14.485784,y: -1.328871,theta: -0.201366, gridPosition: x: 0, y: 0'
'worldPose: x: 14.501127,y: -1.331998,theta: -0.201080, gridPosition: x: 0, y: 0'
'worldPose: x: 14.516471,y: -1.335135,theta: -0.201869, gridPosition: x: 0, y: 0'
'worldPose: x: 14.531708,y: -1.338269,theta: -0.203339, gridPosition: x: 0, y: 0'
'worldPose: x: 14.547002,y: -1.341436,theta: -0.204629, gridPosition: x: 0, y: 0'
'worldPose: x: 14.562314,y: -1.344628,theta: -0.206020, gridPosition: x: 0, y: 0'
'worldPose: x: 14.578349,y: -1.347989,theta: -0.206812, gridPosition: x: 0, y: 0'
'worldPose: x: 14.592886,y: -1.351038,theta: -0.206677, gridPosition: x: 0, y: 0'
'worldPose: x: 14.605114,y: -1.353599,theta: -0.206320, gridPosition: x: 0, y: 0'
'worldPose: x: 14.623487,y: -1.354492,theta: -0.206020, gridPosition: x: 0, y: 0'
'worldPose: x: 14.636658,y: -1.337333,theta: -0.207467, gridPosition: x: 0, y: 0'
'worldPose: x: 14.654148,y: -1.341018,theta: -0.207783, gridPosition: x: 0, y: 0'
'worldPose: x: 14.669359,y: -1.344240,theta: -0.209393, gridPosition: x: 0, y: 0'
'worldPose: x: 14.678542,y: -1.346201,theta: -0.210865, gridPosition: x: 0, y: 0'
'worldPose: x: 14.699929,y: -1.350817,theta: -0.213387, gridPosition: x: 0, y: 0'
'worldPose: x: 14.715184,y: -1.354123,theta: -0.213369, gridPosition: x: 0, y: 0'
'worldPose: x: 14.730462,y: -1.357425,theta: -0.212501, gridPosition: x: 0, y: 0'
'worldPose: x: 14.745749,y: -1.360717,theta: -0.212086, gridPosition: x: 0, y: 0'
'worldPose: x: 14.761016,y: -1.364011,theta: -0.212775, gridPosition: x: 0, y: 0'
'worldPose: x: 14.776280,y: -1.367318,theta: -0.213768, gridPosition: x: 0, y: 0'
'worldPose: x: 14.791547,y: -1.370638,theta: -0.214398, gridPosition: x: 0, y: 0'
'worldPose: x: 14.806818,y: -1.373972,theta: -0.215223, gridPosition: x: 0, y: 0'
'worldPose: x: 14.822074,y: -1.377318,theta: -0.216425, gridPosition: x: 0, y: 0'
'worldPose: x: 14.837351,y: -1.380685,theta: -0.217158, gridPosition: x: 0, y: 0'
'worldPose: x: 14.852596,y: -1.384044,theta: -0.216488, gridPosition: x: 0, y: 0'
'worldPose: x: 14.867872,y: -1.387385,theta: -0.214482, gridPosition: x: 0, y: 0'
'worldPose: x: 14.883132,y: -1.390690,theta: -0.212580, gridPosition: x: 0, y: 0'
'worldPose: x: 14.899111,y: -1.394120,theta: -0.210871, gridPosition: x: 0, y: 0'
'worldPose: x: 14.913710,y: -1.397232,theta: -0.209637, gridPosition: x: 0, y: 0'
'worldPose: x: 14.929045,y: -1.400491,theta: -0.209348, gridPosition: x: 0, y: 0'
'worldPose: x: 14.944264,y: -1.403725,theta: -0.209457, gridPosition: x: 0, y: 0'
'worldPose: x: 14.959569,y: -1.406980,theta: -0.209637, gridPosition: x: 0, y: 0'
'worldPose: x: 14.974826,y: -1.410223,theta: -0.209124, gridPosition: x: 0, y: 0'
'worldPose: x: 14.990444,y: -1.390692,theta: -0.209207, gridPosition: x: 0, y: 0'
'worldPose: x: 15.005715,y: -1.393918,theta: -0.207383, gridPosition: x: 0, y: 0'
'worldPose: x: 15.021004,y: -1.397118,theta: -0.205715, gridPosition: x: 0, y: 0'
'worldPose: x: 15.036308,y: -1.400296,theta: -0.204315, gridPosition: x: 0, y: 0'
'worldPose: x: 15.051596,y: -1.403461,theta: -0.204260, gridPosition: x: 0, y: 0'
'worldPose: x: 15.066907,y: -1.406639,theta: -0.204754, gridPosition: x: 0, y: 0'
'worldPose: x: 15.082201,y: -1.409810,theta: -0.204238, gridPosition: x: 0, y: 0'
'worldPose: x: 15.097508,y: -1.412971,theta: -0.203148, gridPosition: x: 0, y: 0'
'worldPose: x: 15.112817,y: -1.416114,theta: -0.202067, gridPosition: x: 0, y: 0'
'worldPose: x: 15.128105,y: -1.419237,theta: -0.201241, gridPosition: x: 0, y: 0'
'worldPose: x: 15.143428,y: -1.422354,theta: -0.200257, gridPosition: x: 0, y: 0'
'worldPose: x: 15.155698,y: -1.424838,theta: -0.199440, gridPosition: x: 0, y: 0'
'worldPose: x: 15.174058,y: -1.428539,theta: -0.198616, gridPosition: x: 0, y: 0'
'worldPose: x: 15.189385,y: -1.431618,theta: -0.198128, gridPosition: x: 0, y: 0'
'worldPose: x: 15.204695,y: -1.434692,theta: -0.198099, gridPosition: x: 0, y: 0'
'worldPose: x: 15.220022,y: -1.437762,theta: -0.197317, gridPosition: x: 0, y: 0'
'worldPose: x: 15.235373,y: -1.440816,theta: -0.195724, gridPosition: x: 0, y: 0'
'worldPose: x: 15.250666,y: -1.443835,theta: -0.194478, gridPosition: x: 0, y: 0'
'worldPose: x: 15.265993,y: -1.446847,theta: -0.193950, gridPosition: x: 0, y: 0'
'worldPose: x: 15.281335,y: -1.449859,theta: -0.193837, gridPosition: x: 0, y: 0'
'worldPose: x: 15.293766,y: -1.452298,theta: -0.193576, gridPosition: x: 0, y: 0'
'worldPose: x: 15.311990,y: -1.455851,theta: -0.191902, gridPosition: x: 0, y: 0'
'worldPose: x: 15.324288,y: -1.458234,theta: -0.191339, gridPosition: x: 0, y: 0'
'worldPose: x: 15.342687,y: -1.461800,theta: -0.191453, gridPosition: x: 0, y: 0'
'worldPose: x: 15.373976,y: -1.449344,theta: -0.190427, gridPosition: x: 0, y: 0'
'worldPose: x: 15.389312,y: -1.452284,theta: -0.188782, gridPosition: x: 0, y: 0'
'worldPose: x: 15.404674,y: -1.455204,theta: -0.187363, gridPosition: x: 0, y: 0'
'worldPose: x: 15.420025,y: -1.458105,theta: -0.186627, gridPosition: x: 0, y: 0'
'worldPose: x: 15.435402,y: -1.461006,theta: -0.186357, gridPosition: x: 0, y: 0'
'worldPose: x: 15.450727,y: -1.463889,theta: -0.185573, gridPosition: x: 0, y: 0'
'worldPose: x: 15.466081,y: -1.466762,theta: -0.184728, gridPosition: x: 0, y: 0'
'worldPose: x: 15.481509,y: -1.469639,theta: -0.184261, gridPosition: x: 0, y: 0'
'worldPose: x: 15.496810,y: -1.472489,theta: -0.184012, gridPosition: x: 0, y: 0'
'worldPose: x: 15.512169,y: -1.475340,theta: -0.183176, gridPosition: x: 0, y: 0'
'worldPose: x: 15.527535,y: -1.478171,theta: -0.181491, gridPosition: x: 0, y: 0'
'worldPose: x: 15.542907,y: -1.480977,theta: -0.180251, gridPosition: x: 0, y: 0'
'worldPose: x: 15.558286,y: -1.483774,theta: -0.179690, gridPosition: x: 0, y: 0'
'worldPose: x: 15.573651,y: -1.486559,theta: -0.179168, gridPosition: x: 0, y: 0'
'worldPose: x: 15.589056,y: -1.489345,theta: -0.178639, gridPosition: x: 0, y: 0'
'worldPose: x: 15.604407,y: -1.492109,theta: -0.177904, gridPosition: x: 0, y: 0'
'worldPose: x: 15.619800,y: -1.494872,theta: -0.177403, gridPosition: x: 0, y: 0'
'worldPose: x: 15.635177,y: -1.497622,theta: -0.176714, gridPosition: x: 0, y: 0'
'worldPose: x: 15.644502,y: -1.499283,theta: -0.176021, gridPosition: x: 0, y: 0'
'worldPose: x: 15.665934,y: -1.503076,theta: -0.174427, gridPosition: x: 0, y: 0'
'worldPose: x: 15.678253,y: -1.505240,theta: -0.173599, gridPosition: x: 0, y: 0'
'worldPose: x: 15.696811,y: -1.508482,theta: -0.172637, gridPosition: x: 0, y: 0'
'worldPose: x: 15.712121,y: -1.511146,theta: -0.172079, gridPosition: x: 0, y: 0'
'worldPose: x: 15.727508,y: -1.513816,theta: -0.171696, gridPosition: x: 0, y: 0'
'worldPose: x: 15.743483,y: -1.515007,theta: -0.171322, gridPosition: x: 0, y: 0'
'worldPose: x: 15.762778,y: -1.507766,theta: -0.170601, gridPosition: x: 0, y: 0'
'worldPose: x: 15.778178,y: -1.510408,theta: -0.169446, gridPosition: x: 0, y: 0'
'worldPose: x: 15.793585,y: -1.513035,theta: -0.168700, gridPosition: x: 0, y: 0'
