'worldPose: x: 0.703882,y: -0.717405,theta: 0.001441, gridPosition: x: 0, y: 0'
'worldPose: x: 0.709092,y: -0.717402,theta: 0.000175, gridPosition: x: 0, y: 0'
'worldPose: x: 0.712912,y: -0.717403,theta: -0.000612, gridPosition: x: 0, y: 0'
'worldPose: x: 0.717775,y: -0.717407,theta: -0.000839, gridPosition: x: 0, y: 0'
'worldPose: x: 0.721939,y: -0.717409,theta: -0.000165, gridPosition: x: 0, y: 0'
'worldPose: x: 0.727154,y: -0.717405,theta: 0.001206, gridPosition: x: 0, y: 0'
'worldPose: x: 0.732013,y: -0.717393,theta: 0.002758, gridPosition: x: 0, y: 0'
'worldPose: x: 0.737382,y: -0.717375,theta: 0.003872, gridPosition: x: 0, y: 0'
'worldPose: x: 0.742582,y: -0.717354,theta: 0.003770, gridPosition: x: 0, y: 0'
'worldPose: x: 0.745952,y: -0.717342,theta: 0.003212, gridPosition: x: 0, y: 0'
'worldPose: x: 0.751158,y: -0.717328,theta: 0.002245, gridPosition: x: 0, y: 0'
'worldPose: x: 0.756370,y: -0.717319,theta: 0.001298, gridPosition: x: 0, y: 0'
'worldPose: x: 0.760538,y: -0.717314,theta: 0.001161, gridPosition: x: 0, y: 0'
'worldPose: x: 0.764702,y: -0.717309,theta: 0.001504, gridPosition: x: 0, y: 0'
'worldPose: x: 0.778223,y: -0.710126,theta: 0.007129, gridPosition: x: 0, y: 0'
'worldPose: x: 0.781694,y: -0.710099,theta: 0.007861, gridPosition: x: 0, y: 0'
'worldPose: x: 0.785166,y: -0.710070,theta: 0.008688, gridPosition: x: 0, y: 0'
'worldPose: x: 0.787944,y: -0.710045,theta: 0.009270, gridPosition: x: 0, y: 0'
'worldPose: x: 0.794193,y: -0.709985,theta: 0.009604, gridPosition: x: 0, y: 0'
'worldPose: x: 0.799404,y: -0.709935,theta: 0.009645, gridPosition: x: 0, y: 0'
'worldPose: x: 0.804614,y: -0.709885,theta: 0.009514, gridPosition: x: 0, y: 0'
'worldPose: x: 0.809821,y: -0.709837,theta: 0.009194, gridPosition: x: 0, y: 0'
'worldPose: x: 0.815026,y: -0.709790,theta: 0.009020, gridPosition: x: 0, y: 0'
'worldPose: x: 0.819193,y: -0.709752,theta: 0.009029, gridPosition: x: 0, y: 0'
'worldPose: x: 0.825447,y: -0.709694,theta: 0.009329, gridPosition: x: 0, y: 0'
'worldPose: x: 0.830653,y: -0.709644,theta: 0.009953, gridPosition: x: 0, y: 0'
'worldPose: x: 0.834817,y: -0.709599,theta: 0.010844, gridPosition: x: 0, y: 0'
'worldPose: x: 0.841412,y: -0.709525,theta: 0.011400, gridPosition: x: 0, y: 0'
'worldPose: x: 0.847315,y: -0.709458,theta: 0.011120, gridPosition: x: 0, y: 0'
'worldPose: x: 0.853222,y: -0.709394,theta: 0.010756, gridPosition: x: 0, y: 0'
'worldPose: x: 0.859820,y: -0.709325,theta: 0.010511, gridPosition: x: 0, y: 0'
'worldPose: x: 0.865028,y: -0.709270,theta: 0.010511, gridPosition: x: 0, y: 0'
'worldPose: x: 0.871277,y: -0.709200,theta: 0.011591, gridPosition: x: 0, y: 0'
'worldPose: x: 0.877527,y: -0.709122,theta: 0.012939, gridPosition: x: 0, y: 0'
'worldPose: x: 0.882734,y: -0.709052,theta: 0.013943, gridPosition: x: 0, y: 0'
