'worldPose: x: -2.799159,y: -0.152239,theta: 0.043671, gridPosition: x: 0, y: 0'
'worldPose: x: -2.799159,y: -0.152239,theta: 0.043671, gridPosition: x: 0, y: 0'
'worldPose: x: -2.799159,y: -0.152239,theta: 0.043671, gridPosition: x: 0, y: 0'
'worldPose: x: -2.752620,y: -0.135243,theta: 0.040839, gridPosition: x: 0, y: 0'
'worldPose: x: -2.752620,y: -0.135243,theta: 0.040839, gridPosition: x: 0, y: 0'
'worldPose: x: -2.753648,y: -0.149589,theta: 0.043088, gridPosition: x: 0, y: 0'
'worldPose: x: -2.753648,y: -0.149589,theta: 0.043088, gridPosition: x: 0, y: 0'
'worldPose: x: -2.694080,y: -0.142185,theta: 0.041004, gridPosition: x: 0, y: 0'
'worldPose: x: -2.686240,y: -0.159883,theta: 0.041011, gridPosition: x: 0, y: 0'
'worldPose: x: -2.686240,y: -0.159883,theta: 0.041011, gridPosition: x: 0, y: 0'
'worldPose: x: -2.686240,y: -0.159883,theta: 0.041011, gridPosition: x: 0, y: 0'
'worldPose: x: -2.686240,y: -0.159883,theta: 0.041011, gridPosition: x: 0, y: 0'
'worldPose: x: -2.638981,y: -0.148698,theta: 0.039659, gridPosition: x: 0, y: 0'
'worldPose: x: -2.622356,y: -0.173404,theta: 0.046226, gridPosition: x: 0, y: 0'
'worldPose: x: -2.622356,y: -0.173404,theta: 0.046226, gridPosition: x: 0, y: 0'
'worldPose: x: -2.569931,y: -0.181996,theta: 0.036304, gridPosition: x: 0, y: 0'
'worldPose: x: -2.551633,y: -0.188229,theta: 0.039895, gridPosition: x: 0, y: 0'
'worldPose: x: -2.551633,y: -0.188229,theta: 0.039895, gridPosition: x: 0, y: 0'
'worldPose: x: -2.551633,y: -0.188229,theta: 0.039895, gridPosition: x: 0, y: 0'
'worldPose: x: -2.491616,y: -0.170405,theta: 0.039222, gridPosition: x: 0, y: 0'
'worldPose: x: -2.491616,y: -0.170405,theta: 0.039222, gridPosition: x: 0, y: 0'
'worldPose: x: -2.477520,y: -0.181590,theta: 0.040416, gridPosition: x: 0, y: 0'
