'worldPose: x: -1.402461,y: 282.537584,theta: -1.782298, gridPosition: x: 0, y: 0'
'worldPose: x: -1.405061,y: 282.526229,theta: -1.784777, gridPosition: x: 0, y: 0'
'worldPose: x: -1.405061,y: 282.526229,theta: -1.784777, gridPosition: x: 0, y: 0'
'worldPose: x: -1.407288,y: 282.515001,theta: -1.786603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.407288,y: 282.515001,theta: -1.786603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.407288,y: 282.515001,theta: -1.786603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.409765,y: 282.504591,theta: -1.788161, gridPosition: x: 0, y: 0'
'worldPose: x: -1.409765,y: 282.504591,theta: -1.788161, gridPosition: x: 0, y: 0'
'worldPose: x: -1.413245,y: 282.493676,theta: -1.789670, gridPosition: x: 0, y: 0'
'worldPose: x: -1.413245,y: 282.493676,theta: -1.789670, gridPosition: x: 0, y: 0'
'worldPose: x: -1.413245,y: 282.493676,theta: -1.789670, gridPosition: x: 0, y: 0'
'worldPose: x: -1.416618,y: 282.487767,theta: -1.793015, gridPosition: x: 0, y: 0'
'worldPose: x: -1.416618,y: 282.487767,theta: -1.793015, gridPosition: x: 0, y: 0'
'worldPose: x: -1.419755,y: 282.478068,theta: -1.794946, gridPosition: x: 0, y: 0'
'worldPose: x: -1.419755,y: 282.478068,theta: -1.794946, gridPosition: x: 0, y: 0'
'worldPose: x: -1.419755,y: 282.478068,theta: -1.794946, gridPosition: x: 0, y: 0'
'worldPose: x: -1.420590,y: 282.468092,theta: -1.796367, gridPosition: x: 0, y: 0'
'worldPose: x: -1.420590,y: 282.468092,theta: -1.796367, gridPosition: x: 0, y: 0'
'worldPose: x: -1.422377,y: 282.458187,theta: -1.797267, gridPosition: x: 0, y: 0'
'worldPose: x: -1.422377,y: 282.458187,theta: -1.797267, gridPosition: x: 0, y: 0'
'worldPose: x: -1.422377,y: 282.458187,theta: -1.797267, gridPosition: x: 0, y: 0'
'worldPose: x: -1.425804,y: 282.448014,theta: -1.799491, gridPosition: x: 0, y: 0'
'worldPose: x: -1.425804,y: 282.448014,theta: -1.799491, gridPosition: x: 0, y: 0'
'worldPose: x: -1.428290,y: 282.439089,theta: -1.801688, gridPosition: x: 0, y: 0'
'worldPose: x: -1.428290,y: 282.439089,theta: -1.801688, gridPosition: x: 0, y: 0'
'worldPose: x: -1.428290,y: 282.439089,theta: -1.801688, gridPosition: x: 0, y: 0'
'worldPose: x: -1.432444,y: 282.424982,theta: -1.800848, gridPosition: x: 0, y: 0'
'worldPose: x: -1.432444,y: 282.424982,theta: -1.800848, gridPosition: x: 0, y: 0'
