'worldPose: x: 105.869703,y: 62.574281,theta: 1.575218, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869585,y: 62.600358,theta: 1.575297, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869479,y: 62.626367,theta: 1.574433, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869417,y: 62.652457,theta: 1.572170, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869423,y: 62.678470,theta: 1.569563, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869497,y: 62.704515,theta: 1.566872, gridPosition: x: 0, y: 0'
'worldPose: x: 105.847587,y: 62.734310,theta: 1.564315, gridPosition: x: 0, y: 0'
'worldPose: x: 105.847779,y: 62.760347,theta: 1.562977, gridPosition: x: 0, y: 0'
'worldPose: x: 105.847984,y: 62.786391,theta: 1.563083, gridPosition: x: 0, y: 0'
'worldPose: x: 105.848178,y: 62.812436,theta: 1.563439, gridPosition: x: 0, y: 0'
'worldPose: x: 105.848377,y: 62.838471,theta: 1.562766, gridPosition: x: 0, y: 0'
'worldPose: x: 105.848612,y: 62.864832,theta: 1.561310, gridPosition: x: 0, y: 0'
'worldPose: x: 105.849441,y: 62.890530,theta: 1.532939, gridPosition: x: 0, y: 0'
'worldPose: x: 105.850451,y: 62.916541,theta: 1.531257, gridPosition: x: 0, y: 0'
'worldPose: x: 105.836079,y: 62.960846,theta: 1.532752, gridPosition: x: 0, y: 0'
'worldPose: x: 105.837101,y: 62.987111,theta: 1.531501, gridPosition: x: 0, y: 0'
'worldPose: x: 105.838122,y: 63.012909,theta: 1.531084, gridPosition: x: 0, y: 0'
'worldPose: x: 105.839176,y: 63.039234,theta: 1.530564, gridPosition: x: 0, y: 0'
'worldPose: x: 105.840221,y: 63.064936,theta: 1.529873, gridPosition: x: 0, y: 0'
'worldPose: x: 105.841288,y: 63.090941,theta: 1.529854, gridPosition: x: 0, y: 0'
'worldPose: x: 105.842453,y: 63.116951,theta: 1.525400, gridPosition: x: 0, y: 0'
'worldPose: x: 105.843613,y: 63.142982,theta: 1.526912, gridPosition: x: 0, y: 0'
'worldPose: x: 105.841520,y: 63.173026,theta: 1.551752, gridPosition: x: 0, y: 0'
'worldPose: x: 105.841900,y: 63.194614,theta: 1.554089, gridPosition: x: 0, y: 0'
'worldPose: x: 105.842342,y: 63.225076,theta: 1.557655, gridPosition: x: 0, y: 0'
'worldPose: x: 105.842592,y: 63.245857,theta: 1.559392, gridPosition: x: 0, y: 0'
'worldPose: x: 105.842933,y: 63.277102,theta: 1.559929, gridPosition: x: 0, y: 0'
'worldPose: x: 105.843217,y: 63.303144,theta: 1.559909, gridPosition: x: 0, y: 0'
